artist_name,count
Mathew B. Brady,183
"Imprimerie photographique de Blanquart-Évrard, à Lille",110
Timothy H. O'Sullivan,88
Auguste Salzmann,68
George N. Barnard,68
Alexander Gardner,64
Maxime Du Camp,59
Andrew Joseph Russell,55
Philip Henry Delamotte,54
Hill and Adamson,47
David Octavius Hill,46
Robert  Adamson,46
Adrien Tournachon,42
Julia Margaret Cameron,41
Southworth and Hawes,41
Albert Sands Southworth,40
John Thomson,38
William Henry Fox Talbot,38
Josiah Johnson Hawes,38
Luigi Pesce,36
John Dillwyn Llewelyn,36
Guillaume-Benjamin-Amand Duchenne de Boulogne,35
Félix Teynard,34
Alfred Capel Cure,34
Pierre-Louis Pierson,34
Emile Gsell,34
Allen & Ginter,34
Captain R. B. Hill,34
Horatio Ross,32
Louis-Pierre-Théophile Dubois de Nehaut,32
Carleton E. Watkins,31
Raimund von Stillfried,31
Francis Frith,30
Roger Fenton,30
Franz Antoine,30
Eugène Constant,30
Suzuki Shin'ichi,29
Edmond Bacot,28
Joseph Cundall,26
Thomas C. Roche,26
Gustave Le Gray,26
Francis Bedford,25
J. Wood,24
Joseph-Philibert Girault de Prangey,24
Joseph Vigier,24
"W. Duke, Sons & Co.",22
Linnaeus Tripe,22
Henry P. Bosse,22
Morton Schamberg,22
Charles Marville,22
Edouard Baldus,21
John Moran,21
Calvert Richard Jones,20
Charles Nègre,19
James Knight,18
Reed Brockway Bontecou,18
Kinney Brothers Tobacco Company,18
Lai Fong,18
John Constantine Stanley,16
Nadar,16
François Aubert,15
National Aeronautics and Space Administration (NASA),15
John Beasley Greene,15
W. & F. Langenheim,15
Thomas Eakins,14
William Langenheim,14
Jane Martha St. John,12
Egbert Guy Fowx,12
Oscar Gustav Rejlander,12
John Adams Whipple,11
James Gardner,11
F. Glessner,11
G. W. Foster,11
James Wallace Black,10
J. Blondeau et Antonin,10
H. Jannin,10
Louis de Clercq,10
John Anthony,9
William Bell,9
John Murray,8
Louis-Adolphe Humbert de Molard,8
Désiré Charnay,8
Nicolaas Henneman,7
Felice Beato,7
Louis-Rémy Robert,7
Ernest Benecke,7
The Autotype Company,7
Louis Lafon,7
Olympe Aguado de las Marismas,7
William Frank Browne,7
Peter Henry Emerson,7
Charles Clifford,6
André-Adolphe-Eugène Disdéri,6
Oliver H. Willard,6
Lewis Carroll,6
Robert Macpherson,6
Edgar Degas,6
George Wilson Bridges,6
Eugène Cuvelier,6
Jean Baptiste Oscar Mallitte,6
Tung Hing,6
Brady & Co.,6
Buzz Aldrin,5
Hippolyte-Auguste Collard,5
Frederick Gutekunst,5
John Joscelyn Coghill,5
Eugène Druet,5
Robert E. Peary,5
Giacomo Caneva,5
Joseph T. Keiley,5
Neil Armstrong,5
Milton M. Miller,4
Abraham Lincoln,4
Ottomar Anschütz,4
Auguste-Rosalie Bisson,4
Frederick Langenheim,4
Robert Howlett,4
Samuel Bourne,4
Eastman Kodak Co.,4
Charles Victor Hugo,4
Julien Vallou de Villeneuve,4
Alphonse J. Liébert,4
Alfred d'Aunay,4
Lala Deen Dayal,4
Naser od-Din Shah,3
Antoine-François-Jean Claudet,3
Francis Frith and Company,3
Bisson Frères,3
Adolphe Braun,3
William James Stillman,3
Hugh Welch Diamond,3
Louis-Auguste Bisson,3
Jeremiah Gurney,3
Napoleon Sarony,3
Félix Bonfils,3
Auguste Vacquerie,3
Hugo Henneberg,3
Charles Soulier,3
Henri-Jean-Louis Le Secq,3
Robert Murray,3
Paul Henry,3
Prosper Henry,3
Alice Pleasance Liddell,3
Antonio Beato,3
Marie-Charles-Isidore Choiselat,3
Stanislas Ratel,3
Edward Anthony,3
Eugène Durieu,3
René Le Bègue,3
James F. Gibson,3
Alphonse Bertillon,3
Sebastiano Tassinari,3
Alphonse Le Blondel,3
Armand-Hippolyte-Louis Fizeau,3
Auguste Mestral,3
Pierre Emile Joseph Pécarrère,3
Henry P. Moore,3
Firmin-Eugène Le Dien,3
Louis-Jacques-Mandé Daguerre,2
Léon Gérard,2
Clementina Hawarden,2
Jean-Charles Deburau,2
Onésipe Aguado de las Marismas,2
Giovanni Morotti,2
Henry Peach Robinson,2
William Thomas Saunders,2
Hugh Owen,2
Alphonse Delaunay,2
James A. Palmer,2
Lieutenant George Montague Wheeler,2
Gide et Baudry,2
D. Maitland Armstrong,2
James Anderson,2
Edith Mary Liddell,2
Louis Vignes,2
Charles DeForest Fredricks,2
Dorothea Lange,2
Josiah Rowe,2
Charles Milton Bell,2
John Alexander McClernand,2
Allan Pinkerton,2
Pietro Dovizielli,2
Hippolyte Bayard,2
Leavitt Hunt,2
George Kendall Warren,2
William Henri Gebhard,2
Aquilin Schad,2
Oscar Wilde,2
Isaac H. Bonsall,2
E. J. Ward,2
Henri Victor Regnault,2
Eadweard Muybridge,2
Adolphe Terris,2
Louis-Emile Durandelle,2
George Barker,2
Franck,2
John Reekie,2
John Jabez Edwin Mayall,2
Frères Ghemar,2
Etienne Carjat,2
Noël-Marie-Paymal Lerebours,2
George Collins Cox,2
Louis-Désiré Blanquart-Évrard,2
Benjamin Brecknell Turner,2
Platt D. Babbitt,2
Señan y Gonzalez,2
Charles B. J. F. de Saint-Mémin,2
Félix-Jacques-Antoine Moulin,2
Henry White,1
G. Gable,1
Studio Géruzet frères,1
"John Horgan, Jr.",1
Charles J. Tyson,1
Isaac G. Tyson,1
Hans Watzek,1
George Smith Cook,1
Mary Rejlander,1
Charles Henry Talbot,1
François-Benjamin-Maria Delessert,1
Georges Demeny,1
Baron Jean-Baptiste-Louis Gros,1
James William Bailey,1
Charles-Louis-Napoleon Bonaparte,1
William Ewart Gladstone,1
Albert Edward Prince of Wales,1
James Fitzallen Ryder,1
Charles Hippolyte Delahaye,1
William Robert Bowles,1
Cundall & Howlett,1
Morgan Whitney,1
Bertsch et D'Arnaud,1
William England,1
Louise Deglane,1
Charles Moussette,1
Samuel Buckle,1
Bourne and Shepherd,1
Charles Shepherd,1
André Giroux,1
Henry Herschel Hay Cameron,1
Victor Prevost,1
Jane Clifford,1
Abel Niépce de St. Victor,1
Felix Thiollier,1
J. Pascal Sébah,1
Miss Bush,1
Albert Hautecoeur,1
Henry Barraud,1
Peter Wickens Fry,1
Mr. Gonne,1
"Sophie Troubetzkoi, duchesse de Morny",1
