artist_name,works_in_museum,in_dataset_count
Kinney Brothers Tobacco Company,2175,18
"W. Duke, Sons & Co.",1906,22
Allen & Ginter,1712,34
David Octavius Hill|Robert  Adamson|Hill and Adamson,381,24
Pierre-Louis Pierson,350,31
John Thomson,324,34
Eadweard Muybridge,248,1
Carleton E. Watkins,247,30
Louis de Clercq|H. Jannin|J. Blondeau et Antonin,207,5
Maxime Du Camp,204,34
Mathew B. Brady,198,32
André-Adolphe-Eugène Disdéri,170,6
Edouard Baldus,148,21
Félix Bonfils,147,3
Félix Teynard,125,34
"Auguste Salzmann|Imprimerie photographique de Blanquart-Évrard, à Lille",122,34
Thomas Eakins,102,14
Luigi Pesce,93,34
Wilhelm Hammerschmidt,83,1
Julia Margaret Cameron,79,34
William Henry Fox Talbot,74,34
Andrew Joseph Russell|Mathew B. Brady,73,27
Charles Clifford,70,5
George N. Barnard,70,33
Linnaeus Tripe,61,22
Philip Henry Delamotte,61,31
Timothy H. O'Sullivan|Mathew B. Brady,57,28
John Dillwyn Llewelyn,56,33
Timothy H. O'Sullivan,56,29
Morgan Whitney,52,1
"Imprimerie photographique de Blanquart-Évrard, à Lille|Auguste Salzmann",52,34
Albert Sands Southworth|Josiah Johnson Hawes|Southworth and Hawes,50,29
Alexander Gardner,48,32
Emile Gsell,48,34
Guillaume-Benjamin-Amand Duchenne de Boulogne|Adrien Tournachon,48,34
Alfred Capel Cure,46,34
Roger Fenton,46,28
Franz Antoine,44,30
Captain R. B. Hill,43,34
Francis Frith,42,27
Gustave Le Gray,41,22
Horatio Ross,39,32
Raimund von Stillfried,35,31
"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",35,23
Oscar Gustav Rejlander,34,11
Louis-Pierre-Théophile Dubois de Nehaut,32,32
George N. Barnard|Mathew B. Brady,32,26
Dorothea Lange,31,2
Eugène Constant,30,30
Suzuki Shin'ichi,29,29
Edmond Bacot,28,28
Adolphe Braun,27,3
Joseph T. Keiley,27,5
Francis Bedford,26,25
Thomas C. Roche,25,21
Joseph Vigier,24,24
Joseph-Philibert Girault de Prangey,24,24
Charles Nègre,24,18
J. Wood,24,24
Henry P. Bosse,24,22
W. & F. Langenheim|William Langenheim,22,11
Joseph Cundall|Philip Henry Delamotte,22,22
Morton Schamberg,22,22
John Moran,21,21
Charles Marville,21,18
Alexander Gardner|Mathew B. Brady,21,18
National Aeronautics and Space Administration (NASA),21,6
Calvert Richard Jones,19,19
Reed Brockway Bontecou,18,18
Robert  Adamson|David Octavius Hill|Hill and Adamson,17,16
Andrew Joseph Russell,16,15
James Knight,16,16
John Constantine Stanley,16,16
Alphonse Delaunay,16,2
John Beasley Greene,16,15
John Anthony,15,9
Nadar,15,14
François Aubert,15,15
J. Pascal Sébah,14,1
Lai Fong,14,14
William Frank Browne|Mathew B. Brady,13,7
Jane Martha St. John,12,12
James Wallace Black,12,6
Arthur Rothstein,11,1
Louis-Adolphe Humbert de Molard,11,8
Hugh Owen|Nicolaas Henneman,10,2
Désiré Charnay,10,8
Edgar Degas,10,6
Peter Henry Emerson,10,7
John Murray,9,8
Robert Macpherson,9,6
"Imprimerie photographique de Blanquart-Évrard, à Lille",9,8
Gabriel Harrison,9,1
Louis-Rémy Robert,9,6
Felice Beato,8,6
Henri-Jean-Louis Le Secq,8,3
Olympe Aguado de las Marismas,8,6
Louis-Auguste Bisson|Auguste-Rosalie Bisson|Bisson Frères,8,2
