origin,count
French,889
American,712
British,468
"American, born Ireland",271
"British, Scottish",196
Austrian,68
"American, Scottish",64
Italian,56
"British, Welsh",56
"American, born Germany",46
"British, born India",42
"British, born Scotland",32
Japanese,32
"American, born England",31
"French, active Italy",30
Chinese,24
"French, born Prussia",21
"British, born Sweden",12
"British, born France",9
Irish,9
German,8
"British, born Cuba",7
"British, born Italy",7
Dutch,7
"American, born Canada",5
Indian,4
Spanish,4
Belgian,4
"British, born Greece",3
Iranian,3
Irish-American,2
Ghanaian,2
British and American,2
"American, born Scotland",2
Turkish,1
"Italian, active France",1
"German, born Prussia",1
Russian,1
"Canadian, born Scotland",1
"British, active India",1
"American, born Wales",1
Canadian,1
"French, born Sweden",1
French ?,1
Polish,1
English,1
