object,mean_percent,median_percent,max_percent,count
building,24.89149377593361,17.69,97.8,482
tree,18.7718287037037,11.835,87.11,432
mountain,17.355561497326203,7.61,97.98,187
person,16.2178221415608,11.67,72.68,551
sea,13.396481481481484,8.24,65.26,54
water,13.104137931034483,7.75,72.04,145
field,10.61875,4.595,36.94,24
hovel,8.194761904761904,4.35,44.42,21
house,8.071276595744678,3.515,54.94,94
road,7.017777777777779,3.37,47.54,81
sidewalk,6.176000000000001,2.8499999999999996,37.53,70
curtain,6.083714285714286,1.86,51.47,35
tent,6.059166666666666,4.165,19.58,12
boat,6.0196969696969695,4.02,33.44,33
grass,5.940267379679144,2.63,42.69,187
river,5.404651162790697,3.11,24.63,43
rock,5.282980132450331,1.67,46.3,151
animal,4.813454545454546,2.19,31.22,55
column,3.940731707317073,1.78,40.2,41
windowpane,3.8857500000000003,1.365,34.04,40
fence,3.637586206896552,1.93,18.89,58
bridge,3.6327272727272724,1.73,24.7,22
plant,2.66575,1.415,13.82,40
table,2.255142857142857,1.15,14.81,35
pier,2.234666666666667,1.35,7.85,15
bench,1.8121052631578947,1.21,5.02,19
chair,1.7441666666666666,1.375,5.26,36
