object_id,has_person,person_percent,has_building,building_percent,has_tree,tree_percent,has_mountain,mountain_percent,has_grass,grass_percent,has_water,water_percent,has_rock,rock_percent,has_house,house_percent,has_road,road_percent,has_sidewalk,sidewalk_percent,has_fence,fence_percent,has_sea,sea_percent,has_animal,animal_percent,has_column,column_percent,has_boat,boat_percent,has_river,river_percent,has_plant,plant_percent,has_curtain,curtain_percent,has_windowpane,windowpane_percent,has_chair,chair_percent,has_field,field_percent,has_table,table_percent,has_hovel,hovel_percent,has_tent,tent_percent,has_bridge,bridge_percent,has_bench,bench_percent,has_pier,pier_percent,artist_name,origin,creation_year,work_type,works_in_museum
259595,1.0,0.41,,,1.0,56.55,,,1.0,0.3,,,,,,,,,,,,,,,1.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259596,,,,,1.0,53.43,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.87,,,,,,,,,,,,,,,,,1.0,5.68,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259597,,,1.0,1.1,1.0,13.25,,,,,1.0,9.36,1.0,1.67,,,,,,,,,,,,,,,,,1.0,25.11,,,,,,,,,,,,,,,,,1.0,3.9,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259598,,,1.0,9.1,1.0,4.74,,,,,1.0,23.4,,,,,1.0,0.62,,,,,,,,,,,,,1.0,1.54,,,,,,,,,1.0,0.33,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259599,1.0,14.57,,,1.0,35.81,,,1.0,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.4,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259600,,,1.0,0.58,1.0,45.75,,,,,1.0,0.37,,,,,,,,,1.0,2.59,,,,,,,,,1.0,1.45,,,,,,,,,,,,,,,,,1.0,2.54,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259601,1.0,21.26,1.0,0.71,1.0,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.58,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259605,1.0,1.07,,,1.0,0.41,,,,,,,1.0,4.6,,,,,,,1.0,21.51,,,1.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259608,,,,,1.0,33.94,,,,,,,,,,,,,,,,,,,1.0,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259609,1.0,25.58,,,1.0,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
259683,,,,,1.0,46.31,,,,,,,1.0,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1866,Photograph,247
259815,1.0,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baron Antoine Jean Gros,French,1859,Photograph,1
259827,1.0,5.45,1.0,47.44,,,,,,,,,,,,,1.0,20.99,1.0,1.85,,,,,1.0,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Anderson,British,1889,Photograph,3
